"Notes"	"MSA"	"MSA Code"	"Race"	"Race Code"	"Ethnicity"	"Ethnicity Code"	"Year"	"Year Code"	Count	Population	Crude Rate
	"Austin-Round Rock, TX"	"12420"	"White"	"2106-3"	"Hispanic"	"2135-2"	"2001"	"2001"	35	34845	100.4
	"Austin-Round Rock, TX"	"12420"	"White"	"2106-3"	"Hispanic"	"2135-2"	"2002"	"2002"	55	37044	148.5
	"Austin-Round Rock, TX"	"12420"	"White"	"2106-3"	"Hispanic"	"2135-2"	"2003"	"2003"	52	39385	132.0
	"Austin-Round Rock, TX"	"12420"	"White"	"2106-3"	"Hispanic"	"2135-2"	"2004"	"2004"	58	42019	138.0
	"Austin-Round Rock, TX"	"12420"	"White"	"2106-3"	"Hispanic"	"2135-2"	"2005"	"2005"	54	45396	119.0
	"Austin-Round Rock, TX"	"12420"	"White"	"2106-3"	"Hispanic"	"2135-2"	"2006"	"2006"	58	49234	117.8
	"Austin-Round Rock, TX"	"12420"	"White"	"2106-3"	"Hispanic"	"2135-2"	"2007"	"2007"	52	53358	97.5
	"Austin-Round Rock, TX"	"12420"	"White"	"2106-3"	"Hispanic"	"2135-2"	"2008"	"2008"	44	57249	76.9
	"Austin-Round Rock, TX"	"12420"	"White"	"2106-3"	"Hispanic"	"2135-2"	"2009"	"2009"	55	61386	89.6
	"Austin-Round Rock, TX"	"12420"	"White"	"2106-3"	"Hispanic"	"2135-2"	"2010"	"2010"	56	66058	84.8
	"Austin-Round Rock, TX"	"12420"	"White"	"2106-3"	"Hispanic"	"2135-2"	"2011"	"2011"	61	71076	85.8
	"Austin-Round Rock, TX"	"12420"	"White"	"2106-3"	"Hispanic"	"2135-2"	"2012"	"2012"	72	76485	94.1
	"Austin-Round Rock, TX"	"12420"	"White"	"2106-3"	"Hispanic"	"2135-2"	"2013"	"2013"	62	82023	75.6
	"Austin-Round Rock, TX"	"12420"	"White"	"2106-3"	"Hispanic"	"2135-2"	"2014"	"2014"	67	87877	76.2
	"Austin-Round Rock, TX"	"12420"	"White"	"2106-3"	"Hispanic"	"2135-2"	"2015"	"2015"	91	93832	97.0
	"Austin-Round Rock, TX"	"12420"	"White"	"2106-3"	"Hispanic"	"2135-2"	"2016"	"2016"	94	99896	94.1
	"Austin-Round Rock, TX"	"12420"	"White"	"2106-3"	"Hispanic"	"2135-2"	"2017"	"2017"	91	105653	86.1
	"Austin-Round Rock, TX"	"12420"	"White"	"2106-3"	"Non-Hispanic"	"2186-5"	"1999"	"1999"	200	154603	129.4
	"Austin-Round Rock, TX"	"12420"	"White"	"2106-3"	"Non-Hispanic"	"2186-5"	"2000"	"2000"	205	163073	125.7
	"Austin-Round Rock, TX"	"12420"	"White"	"2106-3"	"Non-Hispanic"	"2186-5"	"2001"	"2001"	243	171626	141.6
	"Austin-Round Rock, TX"	"12420"	"White"	"2106-3"	"Non-Hispanic"	"2186-5"	"2002"	"2002"	214	179212	119.4
	"Austin-Round Rock, TX"	"12420"	"White"	"2106-3"	"Non-Hispanic"	"2186-5"	"2003"	"2003"	208	188218	110.5
	"Austin-Round Rock, TX"	"12420"	"White"	"2106-3"	"Non-Hispanic"	"2186-5"	"2004"	"2004"	194	198050	98.0
	"Austin-Round Rock, TX"	"12420"	"White"	"2106-3"	"Non-Hispanic"	"2186-5"	"2005"	"2005"	212	209374	101.3
	"Austin-Round Rock, TX"	"12420"	"White"	"2106-3"	"Non-Hispanic"	"2186-5"	"2006"	"2006"	197	222847	88.4
	"Austin-Round Rock, TX"	"12420"	"White"	"2106-3"	"Non-Hispanic"	"2186-5"	"2007"	"2007"	216	235856	91.6
	"Austin-Round Rock, TX"	"12420"	"White"	"2106-3"	"Non-Hispanic"	"2186-5"	"2008"	"2008"	203	248502	81.7
	"Austin-Round Rock, TX"	"12420"	"White"	"2106-3"	"Non-Hispanic"	"2186-5"	"2009"	"2009"	206	259925	79.3
	"Austin-Round Rock, TX"	"12420"	"White"	"2106-3"	"Non-Hispanic"	"2186-5"	"2010"	"2010"	216	272155	79.4
	"Austin-Round Rock, TX"	"12420"	"White"	"2106-3"	"Non-Hispanic"	"2186-5"	"2011"	"2011"	228	285120	80.0
	"Austin-Round Rock, TX"	"12420"	"White"	"2106-3"	"Non-Hispanic"	"2186-5"	"2012"	"2012"	231	298202	77.5
	"Austin-Round Rock, TX"	"12420"	"White"	"2106-3"	"Non-Hispanic"	"2186-5"	"2013"	"2013"	216	310184	69.6
	"Austin-Round Rock, TX"	"12420"	"White"	"2106-3"	"Non-Hispanic"	"2186-5"	"2014"	"2014"	228	322742	70.6
	"Austin-Round Rock, TX"	"12420"	"White"	"2106-3"	"Non-Hispanic"	"2186-5"	"2015"	"2015"	289	333703	86.6
	"Austin-Round Rock, TX"	"12420"	"White"	"2106-3"	"Non-Hispanic"	"2186-5"	"2016"	"2016"	268	343238	78.1
	"Austin-Round Rock, TX"	"12420"	"White"	"2106-3"	"Non-Hispanic"	"2186-5"	"2017"	"2017"	282	351423	80.2
	"Dallas-Fort Worth-Arlington, TX"	"19100"	"Black or African American"	"2054-5"	"Hispanic"	"2135-2"	"1999"	"1999"	Suppressed	1143	Suppressed
	"Dallas-Fort Worth-Arlington, TX"	"19100"	"Black or African American"	"2054-5"	"Hispanic"	"2135-2"	"2000"	"2000"	Suppressed	1170	Suppressed
	"Dallas-Fort Worth-Arlington, TX"	"19100"	"Black or African American"	"2054-5"	"Hispanic"	"2135-2"	"2001"	"2001"	Suppressed	1326	Suppressed
	"Dallas-Fort Worth-Arlington, TX"	"19100"	"Black or African American"	"2054-5"	"Hispanic"	"2135-2"	"2002"	"2002"	Suppressed	1464	Suppressed
	"Dallas-Fort Worth-Arlington, TX"	"19100"	"Black or African American"	"2054-5"	"Hispanic"	"2135-2"	"2003"	"2003"	Suppressed	1599	Suppressed
	"Dallas-Fort Worth-Arlington, TX"	"19100"	"Black or African American"	"2054-5"	"Hispanic"	"2135-2"	"2004"	"2004"	Suppressed	1805	Suppressed
	"Dallas-Fort Worth-Arlington, TX"	"19100"	"Black or African American"	"2054-5"	"Hispanic"	"2135-2"	"2005"	"2005"	0	2070	0.0
	"Dallas-Fort Worth-Arlington, TX"	"19100"	"Black or African American"	"2054-5"	"Hispanic"	"2135-2"	"2006"	"2006"	Suppressed	2244	Suppressed
	"Dallas-Fort Worth-Arlington, TX"	"19100"	"Black or African American"	"2054-5"	"Hispanic"	"2135-2"	"2007"	"2007"	Suppressed	2498	Suppressed
	"Dallas-Fort Worth-Arlington, TX"	"19100"	"Black or African American"	"2054-5"	"Hispanic"	"2135-2"	"2008"	"2008"	Suppressed	2822	Suppressed
	"Dallas-Fort Worth-Arlington, TX"	"19100"	"Black or African American"	"2054-5"	"Hispanic"	"2135-2"	"2009"	"2009"	Suppressed	3152	Suppressed
	"Dallas-Fort Worth-Arlington, TX"	"19100"	"Black or African American"	"2054-5"	"Hispanic"	"2135-2"	"2010"	"2010"	Suppressed	3449	Suppressed
	"Dallas-Fort Worth-Arlington, TX"	"19100"	"Black or African American"	"2054-5"	"Hispanic"	"2135-2"	"2011"	"2011"	Suppressed	3740	Suppressed
	"Dallas-Fort Worth-Arlington, TX"	"19100"	"Black or African American"	"2054-5"	"Hispanic"	"2135-2"	"2012"	"2012"	Suppressed	4152	Suppressed
	"Dallas-Fort Worth-Arlington, TX"	"19100"	"Black or African American"	"2054-5"	"Hispanic"	"2135-2"	"2013"	"2013"	Suppressed	4514	Suppressed
	"Dallas-Fort Worth-Arlington, TX"	"19100"	"Black or African American"	"2054-5"	"Hispanic"	"2135-2"	"2014"	"2014"	Suppressed	4990	Suppressed
	"Dallas-Fort Worth-Arlington, TX"	"19100"	"Black or African American"	"2054-5"	"Hispanic"	"2135-2"	"2015"	"2015"	Suppressed	5359	Suppressed
	"Dallas-Fort Worth-Arlington, TX"	"19100"	"Black or African American"	"2054-5"	"Hispanic"	"2135-2"	"2016"	"2016"	Suppressed	5757	Suppressed
	"Dallas-Fort Worth-Arlington, TX"	"19100"	"Black or African American"	"2054-5"	"Hispanic"	"2135-2"	"2017"	"2017"	Suppressed	6227	Suppressed
	"Dallas-Fort Worth-Arlington, TX"	"19100"	"Black or African American"	"2054-5"	"Non-Hispanic"	"2186-5"	"1999"	"1999"	197	105096	187.4
	"Dallas-Fort Worth-Arlington, TX"	"19100"	"Black or African American"	"2054-5"	"Non-Hispanic"	"2186-5"	"2000"	"2000"	169	110439	153.0
	"Dallas-Fort Worth-Arlington, TX"	"19100"	"Black or African American"	"2054-5"	"Non-Hispanic"	"2186-5"	"2001"	"2001"	214	116953	183.0
	"Dallas-Fort Worth-Arlington, TX"	"19100"	"Black or African American"	"2054-5"	"Non-Hispanic"	"2186-5"	"2002"	"2002"	230	123101	186.8
	"Dallas-Fort Worth-Arlington, TX"	"19100"	"Black or African American"	"2054-5"	"Non-Hispanic"	"2186-5"	"2003"	"2003"	221	129843	170.2
	"Dallas-Fort Worth-Arlington, TX"	"19100"	"Black or African American"	"2054-5"	"Non-Hispanic"	"2186-5"	"2004"	"2004"	232	137228	169.1
	"Dallas-Fort Worth-Arlington, TX"	"19100"	"Black or African American"	"2054-5"	"Non-Hispanic"	"2186-5"	"2005"	"2005"	235	145520	161.5
	"Dallas-Fort Worth-Arlington, TX"	"19100"	"Black or African American"	"2054-5"	"Non-Hispanic"	"2186-5"	"2006"	"2006"	261	158252	164.9
	"Dallas-Fort Worth-Arlington, TX"	"19100"	"Black or African American"	"2054-5"	"Non-Hispanic"	"2186-5"	"2007"	"2007"	255	168015	151.8
	"Dallas-Fort Worth-Arlington, TX"	"19100"	"Black or African American"	"2054-5"	"Non-Hispanic"	"2186-5"	"2008"	"2008"	299	177362	168.6
	"Dallas-Fort Worth-Arlington, TX"	"19100"	"Black or African American"	"2054-5"	"Non-Hispanic"	"2186-5"	"2009"	"2009"	270	189027	142.8
	"Dallas-Fort Worth-Arlington, TX"	"19100"	"Black or African American"	"2054-5"	"Non-Hispanic"	"2186-5"	"2010"	"2010"	297	200260	148.3
	"Dallas-Fort Worth-Arlington, TX"	"19100"	"Black or African American"	"2054-5"	"Non-Hispanic"	"2186-5"	"2011"	"2011"	283	211200	134.0
	"Dallas-Fort Worth-Arlington, TX"	"19100"	"Black or African American"	"2054-5"	"Non-Hispanic"	"2186-5"	"2012"	"2012"	272	223501	121.7
	"Dallas-Fort Worth-Arlington, TX"	"19100"	"Black or African American"	"2054-5"	"Non-Hispanic"	"2186-5"	"2013"	"2013"	268	234881	114.1
	"Dallas-Fort Worth-Arlington, TX"	"19100"	"Black or African American"	"2054-5"	"Non-Hispanic"	"2186-5"	"2014"	"2014"	316	246676	128.1
	"Dallas-Fort Worth-Arlington, TX"	"19100"	"Black or African American"	"2054-5"	"Non-Hispanic"	"2186-5"	"2015"	"2015"	299	259028	115.4
	"Dallas-Fort Worth-Arlington, TX"	"19100"	"Black or African American"	"2054-5"	"Non-Hispanic"	"2186-5"	"2016"	"2016"	322	270525	119.0
	"Dallas-Fort Worth-Arlington, TX"	"19100"	"Black or African American"	"2054-5"	"Non-Hispanic"	"2186-5"	"2017"	"2017"	328	281659	116.5
	"Dallas-Fort Worth-Arlington, TX"	"19100"	"White"	"2106-3"	"Hispanic"	"2135-2"	"1999"	"1999"	54	82996	65.1
	"Dallas-Fort Worth-Arlington, TX"	"19100"	"White"	"2106-3"	"Hispanic"	"2135-2"	"2000"	"2000"	95	90743	104.7
	"Dallas-Fort Worth-Arlington, TX"	"19100"	"White"	"2106-3"	"Hispanic"	"2135-2"	"2001"	"2001"	102	98671	103.4
	"Dallas-Fort Worth-Arlington, TX"	"19100"	"White"	"2106-3"	"Hispanic"	"2135-2"	"2002"	"2002"	91	106258	85.6
	"Dallas-Fort Worth-Arlington, TX"	"19100"	"White"	"2106-3"	"Hispanic"	"2135-2"	"2003"	"2003"	98	114597	85.5
	"Dallas-Fort Worth-Arlington, TX"	"19100"	"White"	"2106-3"	"Hispanic"	"2135-2"	"2004"	"2004"	108	123165	87.7
	"Dallas-Fort Worth-Arlington, TX"	"19100"	"White"	"2106-3"	"Hispanic"	"2135-2"	"2005"	"2005"	106	132868	79.8
	"Dallas-Fort Worth-Arlington, TX"	"19100"	"White"	"2106-3"	"Hispanic"	"2135-2"	"2006"	"2006"	106	143982	73.6
	"Dallas-Fort Worth-Arlington, TX"	"19100"	"White"	"2106-3"	"Hispanic"	"2135-2"	"2007"	"2007"	147	155645	94.4
	"Dallas-Fort Worth-Arlington, TX"	"19100"	"White"	"2106-3"	"Hispanic"	"2135-2"	"2008"	"2008"	136	167703	81.1
	"Dallas-Fort Worth-Arlington, TX"	"19100"	"White"	"2106-3"	"Hispanic"	"2135-2"	"2009"	"2009"	143	180292	79.3
	"Dallas-Fort Worth-Arlington, TX"	"19100"	"White"	"2106-3"	"Hispanic"	"2135-2"	"2010"	"2010"	162	194475	83.3
	"Dallas-Fort Worth-Arlington, TX"	"19100"	"White"	"2106-3"	"Hispanic"	"2135-2"	"2011"	"2011"	182	209469	86.9
	"Dallas-Fort Worth-Arlington, TX"	"19100"	"White"	"2106-3"	"Hispanic"	"2135-2"	"2012"	"2012"	161	225924	71.3
	"Dallas-Fort Worth-Arlington, TX"	"19100"	"White"	"2106-3"	"Hispanic"	"2135-2"	"2013"	"2013"	168	242235	69.4
	"Dallas-Fort Worth-Arlington, TX"	"19100"	"White"	"2106-3"	"Hispanic"	"2135-2"	"2014"	"2014"	205	259824	78.9
	"Dallas-Fort Worth-Arlington, TX"	"19100"	"White"	"2106-3"	"Hispanic"	"2135-2"	"2015"	"2015"	207	278940	74.2
	"Dallas-Fort Worth-Arlington, TX"	"19100"	"White"	"2106-3"	"Hispanic"	"2135-2"	"2016"	"2016"	216	298575	72.3
	"Dallas-Fort Worth-Arlington, TX"	"19100"	"White"	"2106-3"	"Hispanic"	"2135-2"	"2017"	"2017"	224	318001	70.4
	"Dallas-Fort Worth-Arlington, TX"	"19100"	"White"	"2106-3"	"Non-Hispanic"	"2186-5"	"1999"	"1999"	964	724112	133.1
	"Dallas-Fort Worth-Arlington, TX"	"19100"	"White"	"2106-3"	"Non-Hispanic"	"2186-5"	"2000"	"2000"	989	746831	132.4
	"Dallas-Fort Worth-Arlington, TX"	"19100"	"White"	"2106-3"	"Non-Hispanic"	"2186-5"	"2001"	"2001"	1041	766387	135.8
	"Dallas-Fort Worth-Arlington, TX"	"19100"	"White"	"2106-3"	"Non-Hispanic"	"2186-5"	"2002"	"2002"	1032	785557	131.4
	"Dallas-Fort Worth-Arlington, TX"	"19100"	"White"	"2106-3"	"Non-Hispanic"	"2186-5"	"2003"	"2003"	1062	806721	131.6
	"Dallas-Fort Worth-Arlington, TX"	"19100"	"White"	"2106-3"	"Non-Hispanic"	"2186-5"	"2004"	"2004"	994	829714	119.8
	"Dallas-Fort Worth-Arlington, TX"	"19100"	"White"	"2106-3"	"Non-Hispanic"	"2186-5"	"2005"	"2005"	1027	856357	119.9
	"Dallas-Fort Worth-Arlington, TX"	"19100"	"White"	"2106-3"	"Non-Hispanic"	"2186-5"	"2006"	"2006"	1001	887932	112.7
	"Dallas-Fort Worth-Arlington, TX"	"19100"	"White"	"2106-3"	"Non-Hispanic"	"2186-5"	"2007"	"2007"	1018	918033	110.9
	"Dallas-Fort Worth-Arlington, TX"	"19100"	"White"	"2106-3"	"Non-Hispanic"	"2186-5"	"2008"	"2008"	1022	950043	107.6
	"Dallas-Fort Worth-Arlington, TX"	"19100"	"White"	"2106-3"	"Non-Hispanic"	"2186-5"	"2009"	"2009"	1000	980818	102.0
	"Dallas-Fort Worth-Arlington, TX"	"19100"	"White"	"2106-3"	"Non-Hispanic"	"2186-5"	"2010"	"2010"	1000	1012578	98.8
	"Dallas-Fort Worth-Arlington, TX"	"19100"	"White"	"2106-3"	"Non-Hispanic"	"2186-5"	"2011"	"2011"	967	1046661	92.4
	"Dallas-Fort Worth-Arlington, TX"	"19100"	"White"	"2106-3"	"Non-Hispanic"	"2186-5"	"2012"	"2012"	955	1081389	88.3
	"Dallas-Fort Worth-Arlington, TX"	"19100"	"White"	"2106-3"	"Non-Hispanic"	"2186-5"	"2013"	"2013"	958	1108287	86.4
	"Dallas-Fort Worth-Arlington, TX"	"19100"	"White"	"2106-3"	"Non-Hispanic"	"2186-5"	"2014"	"2014"	1107	1136456	97.4
	"Dallas-Fort Worth-Arlington, TX"	"19100"	"White"	"2106-3"	"Non-Hispanic"	"2186-5"	"2015"	"2015"	1073	1159285	92.6
	"Dallas-Fort Worth-Arlington, TX"	"19100"	"White"	"2106-3"	"Non-Hispanic"	"2186-5"	"2016"	"2016"	1003	1177026	85.2
	"Dallas-Fort Worth-Arlington, TX"	"19100"	"White"	"2106-3"	"Non-Hispanic"	"2186-5"	"2017"	"2017"	1150	1190548	96.6
	"Houston-The Woodlands-Sugar Land, TX"	"26420"	"Black or African American"	"2054-5"	"Hispanic"	"2135-2"	"1999"	"1999"	Suppressed	1669	Suppressed
	"Houston-The Woodlands-Sugar Land, TX"	"26420"	"Black or African American"	"2054-5"	"Hispanic"	"2135-2"	"2000"	"2000"	Suppressed	1730	Suppressed
	"Houston-The Woodlands-Sugar Land, TX"	"26420"	"Black or African American"	"2054-5"	"Hispanic"	"2135-2"	"2001"	"2001"	Suppressed	1938	Suppressed
	"Houston-The Woodlands-Sugar Land, TX"	"26420"	"Black or African American"	"2054-5"	"Hispanic"	"2135-2"	"2002"	"2002"	Suppressed	2119	Suppressed
	"Houston-The Woodlands-Sugar Land, TX"	"26420"	"Black or African American"	"2054-5"	"Hispanic"	"2135-2"	"2003"	"2003"	Suppressed	2311	Suppressed
	"Houston-The Woodlands-Sugar Land, TX"	"26420"	"Black or African American"	"2054-5"	"Hispanic"	"2135-2"	"2004"	"2004"	Suppressed	2610	Suppressed
	"Houston-The Woodlands-Sugar Land, TX"	"26420"	"Black or African American"	"2054-5"	"Hispanic"	"2135-2"	"2005"	"2005"	Suppressed	2890	Suppressed
	"Houston-The Woodlands-Sugar Land, TX"	"26420"	"Black or African American"	"2054-5"	"Hispanic"	"2135-2"	"2006"	"2006"	Suppressed	3234	Suppressed
	"Houston-The Woodlands-Sugar Land, TX"	"26420"	"Black or African American"	"2054-5"	"Hispanic"	"2135-2"	"2007"	"2007"	Suppressed	3611	Suppressed
	"Houston-The Woodlands-Sugar Land, TX"	"26420"	"Black or African American"	"2054-5"	"Hispanic"	"2135-2"	"2008"	"2008"	Suppressed	4044	Suppressed
	"Houston-The Woodlands-Sugar Land, TX"	"26420"	"Black or African American"	"2054-5"	"Hispanic"	"2135-2"	"2009"	"2009"	Suppressed	4543	Suppressed
	"Houston-The Woodlands-Sugar Land, TX"	"26420"	"Black or African American"	"2054-5"	"Hispanic"	"2135-2"	"2010"	"2010"	Suppressed	5142	Suppressed
	"Houston-The Woodlands-Sugar Land, TX"	"26420"	"Black or African American"	"2054-5"	"Hispanic"	"2135-2"	"2011"	"2011"	Suppressed	5494	Suppressed
	"Houston-The Woodlands-Sugar Land, TX"	"26420"	"Black or African American"	"2054-5"	"Hispanic"	"2135-2"	"2012"	"2012"	Suppressed	5893	Suppressed
	"Houston-The Woodlands-Sugar Land, TX"	"26420"	"Black or African American"	"2054-5"	"Hispanic"	"2135-2"	"2013"	"2013"	Suppressed	6358	Suppressed
	"Houston-The Woodlands-Sugar Land, TX"	"26420"	"Black or African American"	"2054-5"	"Hispanic"	"2135-2"	"2014"	"2014"	Suppressed	6875	Suppressed
	"Houston-The Woodlands-Sugar Land, TX"	"26420"	"Black or African American"	"2054-5"	"Hispanic"	"2135-2"	"2015"	"2015"	Suppressed	7432	Suppressed
	"Houston-The Woodlands-Sugar Land, TX"	"26420"	"Black or African American"	"2054-5"	"Hispanic"	"2135-2"	"2016"	"2016"	Suppressed	8022	Suppressed
	"Houston-The Woodlands-Sugar Land, TX"	"26420"	"Black or African American"	"2054-5"	"Hispanic"	"2135-2"	"2017"	"2017"	Suppressed	8610	Suppressed
	"Houston-The Woodlands-Sugar Land, TX"	"26420"	"Black or African American"	"2054-5"	"Non-Hispanic"	"2186-5"	"1999"	"1999"	214	131751	162.4
	"Houston-The Woodlands-Sugar Land, TX"	"26420"	"Black or African American"	"2054-5"	"Non-Hispanic"	"2186-5"	"2000"	"2000"	236	137816	171.2
	"Houston-The Woodlands-Sugar Land, TX"	"26420"	"Black or African American"	"2054-5"	"Non-Hispanic"	"2186-5"	"2001"	"2001"	234	144697	161.7
	"Houston-The Woodlands-Sugar Land, TX"	"26420"	"Black or African American"	"2054-5"	"Non-Hispanic"	"2186-5"	"2002"	"2002"	263	151843	173.2
	"Houston-The Woodlands-Sugar Land, TX"	"26420"	"Black or African American"	"2054-5"	"Non-Hispanic"	"2186-5"	"2003"	"2003"	262	159739	164.0
	"Houston-The Woodlands-Sugar Land, TX"	"26420"	"Black or African American"	"2054-5"	"Non-Hispanic"	"2186-5"	"2004"	"2004"	317	167831	188.9
	"Houston-The Woodlands-Sugar Land, TX"	"26420"	"Black or African American"	"2054-5"	"Non-Hispanic"	"2186-5"	"2005"	"2005"	289	176305	163.9
	"Houston-The Woodlands-Sugar Land, TX"	"26420"	"Black or African American"	"2054-5"	"Non-Hispanic"	"2186-5"	"2006"	"2006"	291	192392	151.3
	"Houston-The Woodlands-Sugar Land, TX"	"26420"	"Black or African American"	"2054-5"	"Non-Hispanic"	"2186-5"	"2007"	"2007"	317	201043	157.7
	"Houston-The Woodlands-Sugar Land, TX"	"26420"	"Black or African American"	"2054-5"	"Non-Hispanic"	"2186-5"	"2008"	"2008"	304	209778	144.9
	"Houston-The Woodlands-Sugar Land, TX"	"26420"	"Black or African American"	"2054-5"	"Non-Hispanic"	"2186-5"	"2009"	"2009"	321	220430	145.6
	"Houston-The Woodlands-Sugar Land, TX"	"26420"	"Black or African American"	"2054-5"	"Non-Hispanic"	"2186-5"	"2010"	"2010"	314	230549	136.2
