	"Year"	"Year Code"	"Age Groups"	"Age Groups Code"	"Count"	"Population"	"Crude Rate"
	"2000"	"2000"	"85+ years"	"85+"	96842	4156527	2329.9
	"2001"	"2001"	"<1 year"	"<1"	980	3970113	24.7
	"2001"	"2001"	"1-4 years"	"1-4"	3288	15123657	21.7
	"2001"	"2001"	"5-9 years"	"5-9"	2307	19962452	11.6
	"2001"	"2001"	"10-14 years"	"10-14"	2756	20758808	13.3
	"2001"	"2001"	"15-19 years"	"15-19"	4309	20227701	21.3
	"2001"	"2001"	"20-24 years"	"20-24"	6611	19536435	33.8
	"2001"	"2001"	"25-29 years"	"25-29"	10281	18634669	55.2
	"2001"	"2001"	"30-34 years"	"30-34"	17684	20462391	86.4
	"2001"	"2001"	"35-39 years"	"35-39"	30217	22030086	137.2
	"2001"	"2001"	"40-44 years"	"40-44"	53135	22601240	235.1
	"2001"	"2001"	"45-49 years"	"45-49"	77889	20501373	379.9
	"2001"	"2001"	"50-54 years"	"50-54"	113599	18507423	613.8
	"2001"	"2001"	"55-59 years"	"55-59"	135122	13833003	976.8
	"2001"	"2001"	"60-64 years"	"60-64"	154834	11020881	1404.9
	"2001"	"2001"	"65-69 years"	"65-69"	182605	9463333	1929.6
	"2001"	"2001"	"70-74 years"	"70-74"	202871	8734260	2322.7
	"2001"	"2001"	"75-79 years"	"75-79"	189087	7386502	2559.9
	"2001"	"2001"	"80-84 years"	"80-84"	130087	5091062	2555.2
	"2001"	"2001"	"85+ years"	"85+"	102460	4270572	2399.2
	"2002"	"2002"	"<1 year"	"<1"	963	3910837	24.6
	"2002"	"2002"	"1-4 years"	"1-4"	3271	15313864	21.4
	"2002"	"2002"	"5-9 years"	"5-9"	2385	19665950	12.1
	"2002"	"2002"	"10-14 years"	"10-14"	2679	21040663	12.7
	"2002"	"2002"	"15-19 years"	"15-19"	4429	20386049	21.7
	"2002"	"2002"	"20-24 years"	"20-24"	6867	20019398	34.3
	"2002"	"2002"	"25-29 years"	"25-29"	10449	18510142	56.5
	"2002"	"2002"	"30-34 years"	"30-34"	17866	20467339	87.3
	"2002"	"2002"	"35-39 years"	"35-39"	29461	21551652	136.7
	"2002"	"2002"	"40-44 years"	"40-44"	53406	22675693	235.5
	"2002"	"2002"	"45-49 years"	"45-49"	80538	21049493	382.6
	"2002"	"2002"	"50-54 years"	"50-54"	114571	18560294	617.3
	"2002"	"2002"	"55-59 years"	"55-59"	144296	14996304	962.2
	"2002"	"2002"	"60-64 years"	"60-64"	160564	11442027	1403.3
	"2002"	"2002"	"65-69 years"	"65-69"	182022	9538576	1908.3
	"2002"	"2002"	"70-74 years"	"70-74"	198849	8663457	2295.3
	"2002"	"2002"	"75-79 years"	"75-79"	187844	7400487	2538.3
	"2002"	"2002"	"80-84 years"	"80-84"	134490	5246561	2563.4
	"2002"	"2002"	"85+ years"	"85+"	103296	4327726	2386.8
	"2003"	"2003"	"<1 year"	"<1"	1005	3975871	25.3
	"2003"	"2003"	"1-4 years"	"1-4"	3251	15616575	20.8
	"2003"	"2003"	"5-9 years"	"5-9"	2253	19620851	11.5
	"2003"	"2003"	"10-14 years"	"10-14"	2745	21415353	12.8
	"2003"	"2003"	"15-19 years"	"15-19"	4447	20797166	21.4
	"2003"	"2003"	"20-24 years"	"20-24"	6976	20591688	33.9
	"2003"	"2003"	"25-29 years"	"25-29"	10459	18771585	55.7
	"2003"	"2003"	"30-34 years"	"30-34"	17957	20472210	87.7
	"2003"	"2003"	"35-39 years"	"35-39"	29384	21264159	138.2
	"2003"	"2003"	"40-44 years"	"40-44"	54307	22890047	237.3
	"2003"	"2003"	"45-49 years"	"45-49"	83615	21722676	384.9
	"2003"	"2003"	"50-54 years"	"50-54"	115866	19097278	606.7
	"2003"	"2003"	"55-59 years"	"55-59"	147461	15814557	932.4
	"2003"	"2003"	"60-64 years"	"60-64"	164867	12194388	1352.0
	"2003"	"2003"	"65-69 years"	"65-69"	182780	9830796	1859.3
	"2003"	"2003"	"70-74 years"	"70-74"	193175	8670119	2228.1
	"2003"	"2003"	"75-79 years"	"75-79"	187850	7497842	2505.4
	"2003"	"2003"	"80-84 years"	"80-84"	137464	5398596	2546.3
	"2003"	"2003"	"85+ years"	"85+"	106639	4466176	2387.7
	"2004"	"2004"	"<1 year"	"<1"	1024	4014258	25.5
	"2004"	"2004"	"1-4 years"	"1-4"	3525	15771627	22.4
	"2004"	"2004"	"5-9 years"	"5-9"	2327	19454237	12.0
	"2004"	"2004"	"10-14 years"	"10-14"	2867	21411680	13.4
	"2004"	"2004"	"15-19 years"	"15-19"	4582	21102552	21.7
	"2004"	"2004"	"20-24 years"	"20-24"	7244	20845560	34.8
	"2004"	"2004"	"25-29 years"	"25-29"	10728	19107055	56.1
	"2004"	"2004"	"30-34 years"	"30-34"	18373	20159501	91.1
	"2004"	"2004"	"35-39 years"	"35-39"	29141	20874649	139.6
	"2004"	"2004"	"40-44 years"	"40-44"	54815	22925626	239.1
	"2004"	"2004"	"45-49 years"	"45-49"	86365	22065262	391.4
	"2004"	"2004"	"50-54 years"	"50-54"	119511	19564668	610.9
	"2004"	"2004"	"55-59 years"	"55-59"	152805	16607176	920.1
	"2004"	"2004"	"60-64 years"	"60-64"	170763	12698128	1344.8
	"2004"	"2004"	"65-69 years"	"65-69"	186418	10073429	1850.6
	"2004"	"2004"	"70-74 years"	"70-74"	190193	8594104	2213.1
	"2004"	"2004"	"75-79 years"	"75-79"	185997	7461399	2492.8
	"2004"	"2004"	"80-84 years"	"80-84"	141304	5528504	2555.9
	"2004"	"2004"	"85+ years"	"85+"	107960	4545883	2374.9
	"2005"	"2005"	"<1 year"	"<1"	993	3999783	24.8
	"2005"	"2005"	"1-4 years"	"1-4"	3425	15899370	21.5
	"2005"	"2005"	"5-9 years"	"5-9"	2309	19374703	11.9
	"2005"	"2005"	"10-14 years"	"10-14"	2762	21195702	13.0
	"2005"	"2005"	"15-19 years"	"15-19"	4776	21471178	22.2
	"2005"	"2005"	"20-24 years"	"20-24"	7449	20941230	35.6
	"2005"	"2005"	"25-29 years"	"25-29"	11475	19521407	58.8
	"2005"	"2005"	"30-34 years"	"30-34"	18048	19707198	91.6
	"2005"	"2005"	"35-39 years"	"35-39"	29409	20785291	141.5
	"2005"	"2005"	"40-44 years"	"40-44"	54868	22690105	241.8
	"2005"	"2005"	"45-49 years"	"45-49"	88149	22403209	393.5
	"2005"	"2005"	"50-54 years"	"50-54"	122816	20067242	612.0
	"2005"	"2005"	"55-59 years"	"55-59"	160583	17495609	917.8
	"2005"	"2005"	"60-64 years"	"60-64"	176005	13131162	1340.4
	"2005"	"2005"	"65-69 years"	"65-69"	189896	10273382	1848.4
	"2005"	"2005"	"70-74 years"	"70-74"	189978	8598015	2209.6
	"2005"	"2005"	"75-79 years"	"75-79"	186106	7458837	2495.1
	"2005"	"2005"	"80-84 years"	"80-84"	143653	5608292	2561.4
	"2005"	"2005"	"85+ years"	"85+"	112240	4690947	2392.7
	"2006"	"2006"	"<1 year"	"<1"	1062	4041738	26.3
	"2006"	"2006"	"1-4 years"	"1-4"	3396	15897145	21.4
	"2006"	"2006"	"5-9 years"	"5-9"	2374	19544688	12.1
	"2006"	"2006"	"10-14 years"	"10-14"	2840	21033138	13.5
	"2006"	"2006"	"15-19 years"	"15-19"	4700	21807709	21.6
	"2006"	"2006"	"20-24 years"	"20-24"	7495	21036135	35.6
	"2006"	"2006"	"25-29 years"	"25-29"	11734	20110011	58.3
	"2006"	"2006"	"30-34 years"	"30-34"	17593	19285168	91.2
	"2006"	"2006"	"35-39 years"	"35-39"	29827	20941233	142.4
	"2006"	"2006"	"40-44 years"	"40-44"	54867	22302568	246.0
	"2006"	"2006"	"45-49 years"	"45-49"	90286	22715286	397.5
	"2006"	"2006"	"50-54 years"	"50-54"	127272	20570873	618.7
	"2006"	"2006"	"55-59 years"	"55-59"	169798	18396860	923.0
	"2006"	"2006"	"60-64 years"	"60-64"	183268	13533253	1354.2
	"2006"	"2006"	"65-69 years"	"65-69"	197748	10553201	1873.8
	"2006"	"2006"	"70-74 years"	"70-74"	192769	8649826	2228.6
	"2006"	"2006"	"75-79 years"	"75-79"	185883	7447034	2496.1
	"2006"	"2006"	"80-84 years"	"80-84"	144394	5648117	2556.5
	"2006"	"2006"	"85+ years"	"85+"	115459	4865929	2372.8
	"2007"	"2007"	"<1 year"	"<1"	1093	4147997	26.4
	"2007"	"2007"	"1-4 years"	"1-4"	3611	15977965	22.6
	"2007"	"2007"	"5-9 years"	"5-9"	2449	19714611	12.4
	"2007"	"2007"	"10-14 years"	"10-14"	2765	20841042	13.3
	"2007"	"2007"	"15-19 years"	"15-19"	4881	22067816	22.1
	"2007"	"2007"	"20-24 years"	"20-24"	7670	21077999	36.4
	"2007"	"2007"	"25-29 years"	"25-29"	12339	20542698	60.1
	"2007"	"2007"	"30-34 years"	"30-34"	17596	19170765	91.8
	"2007"	"2007"	"35-39 years"	"35-39"	30173	20963891	143.9
	"2007"	"2007"	"40-44 years"	"40-44"	54118	21832339	247.9
	"2007"	"2007"	"45-49 years"	"45-49"	92114	22799761	404.0
	"2007"	"2007"	"50-54 years"	"50-54"	133477	21140178	631.4
	"2007"	"2007"	"55-59 years"	"55-59"	172751	18454772	936.1
	"2007"	"2007"	"60-64 years"	"60-64"	200005	14673662	1363.0
	"2007"	"2007"	"65-69 years"	"65-69"	209155	10970235	1906.6
	"2007"	"2007"	"70-74 years"	"70-74"	195936	8728492	2244.8
	"2007"	"2007"	"75-79 years"	"75-79"	185901	7400363	2512.1
	"2007"	"2007"	"80-84 years"	"80-84"	146225	5687076	2571.2
	"2007"	"2007"	"85+ years"	"85+"	119376	5039545	2368.8
	"2008"	"2008"	"<1 year"	"<1"	1116	4132735	27.0
	"2008"	"2008"	"1-4 years"	"1-4"	3670	16138392	22.7
	"2008"	"2008"	"5-9 years"	"5-9"	2566	19929602	12.9
	"2008"	"2008"	"10-14 years"	"10-14"	2775	20706655	13.4
	"2008"	"2008"	"15-19 years"	"15-19"	4915	22210880	22.1
	"2008"	"2008"	"20-24 years"	"20-24"	7742	21180612	36.6
	"2008"	"2008"	"25-29 years"	"25-29"	12447	20902668	59.5
	"2008"	"2008"	"30-34 years"	"30-34"	18317	19304805	94.9
	"2008"	"2008"	"35-39 years"	"35-39"	30848	20817463	148.2
	"2008"	"2008"	"40-44 years"	"40-44"	53279	21375023	249.3
	"2008"	"2008"	"45-49 years"	"45-49"	93422	22820973	409.4
	"2008"	"2008"	"50-54 years"	"50-54"	137407	21639474	635.0
	"2008"	"2008"	"55-59 years"	"55-59"	174285	18814568	926.3
	"2008"	"2008"	"60-64 years"	"60-64"	205476	15342495	1339.3
	"2008"	"2008"	"65-69 years"	"65-69"	216590	11594347	1868.1
	"2008"	"2008"	"70-74 years"	"70-74"	196761	8911332	2208.0
	"2008"	"2008"	"75-79 years"	"75-79"	181740	7345743	2474.1
	"2008"	"2008"	"80-84 years"	"80-84"	146219	5730359	2551.7
	"2008"	"2008"	"85+ years"	"85+"	124633	5195840	2398.7
	"2009"	"2009"	"<1 year"	"<1"	1064	4003587	26.6
	"2009"	"2009"	"1-4 years"	"1-4"	3616	16240931	22.3
	"2009"	"2009"	"5-9 years"	"5-9"	2539	20182499	12.6
	"2009"	"2009"	"10-14 years"	"10-14"	2826	20660564	13.7
	"2009"	"2009"	"15-19 years"	"15-19"	4935	22192810	22.2
	"2009"	"2009"	"20-24 years"	"20-24"	7886	21384122	36.9
	"2009"	"2009"	"25-29 years"	"25-29"	12915	21078228	61.3
	"2009"	"2009"	"30-34 years"	"30-34"	18868	19645114	96.0
	"2009"	"2009"	"35-39 years"	"35-39"	30481	20507796	148.6
	"2009"	"2009"	"40-44 years"	"40-44"	52957	20980015	252.4
	"2009"	"2009"	"45-49 years"	"45-49"	94106	22862245	411.6
	"2009"	"2009"	"50-54 years"	"50-54"	141249	22004843	641.9
	"2009"	"2009"	"55-59 years"	"55-59"	177133	19280603	918.7
	"2009"	"2009"	"60-64 years"	"60-64"	213554	16124997	1324.4
	"2009"	"2009"	"65-69 years"	"65-69"	223908	12092377	1851.6
	"2009"	"2009"	"70-74 years"	"70-74"	199596	9140722	2183.6
	"2009"	"2009"	"75-79 years"	"75-79"	177541	7295064	2433.7
	"2009"	"2009"	"80-84 years"	"80-84"	143480	5727711	2505.0
	"2009"	"2009"	"85+ years"	"85+"	125705	5367301	2342.1
	"2010"	"2010"	"<1 year"	"<1"	1047	3951430	26.5
	"2010"	"2010"	"1-4 years"	"1-4"	3807	16237385	23.4
	"2010"	"2010"	"5-9 years"	"5-9"	2696	20331229	13.3
	"2010"	"2010"	"10-14 years"	"10-14"	2933	20680642	14.2
	"2010"	"2010"	"15-19 years"	"15-19"	4763	21981217	21.7
	"2010"	"2010"	"20-24 years"	"20-24"	7893	21701481	36.4
	"2010"	"2010"	"25-29 years"	"25-29"	12799	21143162	60.5
	"2010"	"2010"	"30-34 years"	"30-34"	18888	20068468	94.1
	"2010"	"2010"	"35-39 years"	"35-39"	29329	20077880	146.1
	"2010"	"2010"	"40-44 years"	"40-44"	51297	20903792	245.4
	"2010"	"2010"	"45-49 years"	"45-49"	89894	22635453	397.1
	"2010"	"2010"	"50-54 years"	"50-54"	139118	22351881	622.4
	"2010"	"2010"	"55-59 years"	"55-59"	177706	19793973	897.8
	"2010"	"2010"	"60-64 years"	"60-64"	216748	16989310	1275.8
	"2010"	"2010"	"65-69 years"	"65-69"	225357	12520772	1799.9
	"2010"	"2010"	"70-74 years"	"70-74"	199704	9336093	2139.1
	"2010"	"2010"	"75-79 years"	"75-79"	174384	7319802	2382.4
	"2010"	"2010"	"80-84 years"	"80-84"	141260	5759207	2452.8
	"2010"	"2010"	"85+ years"	"85+"	126848	5542908	2288.5
	"2011"	"2011"	"<1 year"	"<1"	1018	3963092	25.7
	"2011"	"2011"	"1-4 years"	"1-4"	3787	16160011	23.4
	"2011"	"2011"	"5-9 years"	"5-9"	2723	20332518	13.4
	"2011"	"2011"	"10-14 years"	"10-14"	2929	20713010	14.1
	"2011"	"2011"	"15-19 years"	"15-19"	4866	21659079	22.5
	"2011"	"2011"	"20-24 years"	"20-24"	8039	22160176	36.3
	"2011"	"2011"	"25-29 years"	"25-29"	12826	21282038	60.3
	"2011"	"2011"	"30-34 years"	"30-34"	19294	20515870	94.0
	"2011"	"2011"	"35-39 years"	"35-39"	28696	19601023	146.4
	"2011"	"2011"	"40-44 years"	"40-44"	51873	21038413	246.6
	"2011"	"2011"	"45-49 years"	"45-49"	88473	22164875	399.2
	"2011"	"2011"	"50-54 years"	"50-54"	140905	22565954	624.4
	"2011"	"2011"	"55-59 years"	"55-59"	183050	20258034	903.6
	"2011"	"2011"	"60-64 years"	"60-64"	227153	17812967	1275.2
	"2011"	"2011"	"65-69 years"	"65-69"	234202	12879310	1818.4
	"2011"	"2011"	"70-74 years"	"70-74"	205388	9607502	2137.8
	"2011"	"2011"	"75-79 years"	"75-79"	175875	7387183	2380.8
	"2011"	"2011"	"80-84 years"	"80-84"	142163	5778425	2460.2
	"2011"	"2011"	"85+ years"	"85+"	129606	5700529	2273.6
	"2012"	"2012"	"<1 year"	"<1"	1063	3926570	27.1
	"2012"	"2012"	"1-4 years"	"1-4"	3785	16049496	23.6
	"2012"	"2012"	"5-9 years"	"5-9"	2578	20467161	12.6
	"2012"	"2012"	"10-14 years"	"10-14"	2970	20670087	14.4
	"2012"	"2012"	"15-19 years"	"15-19"	4963	21370267	23.2
	"2012"	"2012"	"20-24 years"	"20-24"	8198	22587686	36.3
	"2012"	"2012"	"25-29 years"	"25-29"	13217	21387181	61.8
	"2012"	"2012"	"30-34 years"	"30-34"	20287	20910686	97.0
	"2012"	"2012"	"35-39 years"	"35-39"	28708	19494930	147.3
	"2012"	"2012"	"40-44 years"	"40-44"	51941	21027331	247.0
	"2012"	"2012"	"45-49 years"	"45-49"	85985	21689990	396.4
	"2012"	"2012"	"50-54 years"	"50-54"	138528	22575934	613.6
	"2012"	"2012"	"55-59 years"	"55-59"	183109	20769239	881.6
	"2012"	"2012"	"60-64 years"	"60-64"	220033	17811521	1235.3
	"2012"	"2012"	"65-69 years"	"65-69"	241379	13981390	1726.4
	"2012"	"2012"	"70-74 years"	"70-74"	206381	10011650	2061.4
	"2012"	"2012"	"75-79 years"	"75-79"	172785	7490273	2306.8
	"2012"	"2012"	"80-84 years"	"80-84"	137665	5777568	2382.7
	"2012"	"2012"	"85+ years"	"85+"	129989	5875258	2212.5
	"2013"	"2013"	"<1 year"	"<1"	1133	3931258	28.8
	"2013"	"2013"	"1-4 years"	"1-4"	3650	15917956	22.9
	"2013"	"2013"	"5-9 years"	"5-9"	2707	20567352	13.2
	"2013"	"2013"	"10-14 years"	"10-14"	3042	20651300	14.7
	"2013"	"2013"	"15-19 years"	"15-19"	4704	21178925	22.2
	"2013"	"2013"	"20-24 years"	"20-24"	8252	22814705	36.2
	"2013"	"2013"	"25-29 years"	"25-29"	13077	21572894	60.6
	"2013"	"2013"	"30-34 years"	"30-34"	20538	21271294	96.6
	"2013"	"2013"	"35-39 years"	"35-39"	29200	19611120	148.9
	"2013"	"2013"	"40-44 years"	"40-44"	51935	20850261	249.1
	"2013"	"2013"	"45-49 years"	"45-49"	83545	21211724	393.9
	"2013"	"2013"	"50-54 years"	"50-54"	138951	22552995	616.1
	"2013"	"2013"	"55-59 years"	"55-59"	186976	21177266	882.9
	"2013"	"2013"	"60-64 years"	"60-64"	221449	18110159	1222.8
	"2013"	"2013"	"65-69 years"	"65-69"	250186	14593975	1714.3
	"2013"	"2013"	"70-74 years"	"70-74"	217626	10600633	2053.0
	"2013"	"2013"	"75-79 years"	"75-79"	176789	7675857	2303.2
	"2013"	"2013"	"80-84 years"	"80-84"	137550	5758600	2388.6
	"2013"	"2013"	"85+ years"	"85+"	132040	6009453	2197.2
	"2014"	"2014"	"<1 year"	"<1"	1129	3954786	28.5
	"2014"	"2014"	"1-4 years"	"1-4"	3635	15917567	22.8
	"2014"	"2014"	"5-9 years"	"5-9"	2823	20515054	13.8
	"2014"	"2014"	"10-14 years"	"10-14"	3169	20666075	15.3
	"2014"	"2014"	"15-19 years"	"15-19"	4931	21054605	23.4
	"2014"	"2014"	"20-24 years"	"20-24"	8626	22877086	37.7
	"2014"	"2014"	"25-29 years"	"25-29"	13671	21955493	62.3
	"2014"	"2014"	"30-34 years"	"30-34"	21169	21505310	98.4
	"2014"	"2014"	"35-39 years"	"35-39"	30006	19881218	150.9
	"2014"	"2014"	"40-44 years"	"40-44"	51539	20541648	250.9
	"2014"	"2014"	"45-49 years"	"45-49"	81982	20832053	393.5
	"2014"	"2014"	"50-54 years"	"50-54"	138971	22519029	617.1
	"2014"	"2014"	"55-59 years"	"55-59"	191173	21464932	890.6
	"2014"	"2014"	"60-64 years"	"60-64"	227489	18531780	1227.6
	"2014"	"2014"	"65-69 years"	"65-69"	256429	15299770	1676.0
	"2014"	"2014"	"70-74 years"	"70-74"	223121	11059539	2017.5
	"2014"	"2014"	"75-79 years"	"75-79"	178845	7911439	2260.6
	"2014"	"2014"	"80-84 years"	"80-84"	134645	5751393	2341.1
	"2014"	"2014"	"85+ years"	"85+"	133400	6147644	2169.9
	"2015"	"2015"	"<1 year"	"<1"	1176	3983965	29.5
	"2015"	"2015"	"1-4 years"	"1-4"	3754	15934140	23.6
	"2015"	"2015"	"5-9 years"	"5-9"	2804	20476743	13.7
	"2015"	"2015"	"10-14 years"	"10-14"	3156	20604887	15.3
	"2015"	"2015"	"15-19 years"	"15-19"	5214	21083170	24.7
	"2015"	"2015"	"20-24 years"	"20-24"	8296	22672432	36.6
	"2015"	"2015"	"25-29 years"	"25-29"	13959	22414862	62.3
	"2015"	"2015"	"30-34 years"	"30-34"	21996	21637918	101.7
	"2015"	"2015"	"35-39 years"	"35-39"	31018	20316918	152.7
	"2015"	"2015"	"40-44 years"	"40-44"	51093	20147089	253.6
	"2015"	"2015"	"45-49 years"	"45-49"	81634	20777178	392.9
	"2015"	"2015"	"50-54 years"	"50-54"	137288	22264254	616.6
	"2015"	"2015"	"55-59 years"	"55-59"	192847	21742613	887.0
	"2015"	"2015"	"60-64 years"	"60-64"	235529	19018808	1238.4
	"2015"	"2015"	"65-69 years"	"65-69"	269998	16035020	1683.8
	"2015"	"2015"	"70-74 years"	"70-74"	232095	11463642	2024.6
	"2015"	"2015"	"75-79 years"	"75-79"	183338	8109550	2260.8
	"2015"	"2015"	"80-84 years"	"80-84"	134994	5789786	2331.6
	"2015"	"2015"	"85+ years"	"85+"	134387	6269698	2143.4
	"2016"	"2016"	"<1 year"	"<1"	1108	3955192	28.0
	"2016"	"2016"	"1-4 years"	"1-4"	3579	15967173	22.4
	"2016"	"2016"	"5-9 years"	"5-9"	2752	20432396	13.5
	"2016"	"2016"	"10-14 years"	"10-14"	3258	20620680	15.8
	"2016"	"2016"	"15-19 years"	"15-19"	5132	21135528	24.3
	"2016"	"2016"	"20-24 years"	"20-24"	8245	22358548	36.9
	"2016"	"2016"	"25-29 years"	"25-29"	14199	22918599	62.0
	"2016"	"2016"	"30-34 years"	"30-34"	22179	21824917	101.6
	"2016"	"2016"	"35-39 years"	"35-39"	31911	20790976	153.5
	"2016"	"2016"	"40-44 years"	"40-44"	49603	19694145	251.9
	"2016"	"2016"	"45-49 years"	"45-49"	80417	20924678	384.3
	"2016"	"2016"	"50-54 years"	"50-54"	132238	21811909	606.3
	"2016"	"2016"	"55-59 years"	"55-59"	193717	21952344	882.4
	"2016"	"2016"	"60-64 years"	"60-64"	238722	19460273	1226.7
	"2016"	"2016"	"65-69 years"	"65-69"	279956	16807456	1665.7
	"2016"	"2016"	"70-74 years"	"70-74"	236485	11802525	2003.7
	"2016"	"2016"	"75-79 years"	"75-79"	186595	8365665	2230.5
	"2016"	"2016"	"80-84 years"	"80-84"	135418	5865375	2308.8
	"2016"	"2016"	"85+ years"	"85+"	133519	6382963	2091.8
	"2017"	"2017"	"<1 year"	"<1"	1006	3893945	25.8
	"2017"	"2017"	"1-4 years"	"1-4"	3490	15998022	21.8
	"2017"	"2017"	"5-9 years"	"5-9"	2570	20304937	12.7
	"2017"	"2017"	"10-14 years"	"10-14"	3120	20765794	15.0
	"2017"	"2017"	"15-19 years"	"15-19"	4830	21103332	22.9
	"2017"	"2017"	"20-24 years"	"20-24"	8000	22065664	36.3
	"2017"	"2017"	"25-29 years"	"25-29"	13837	23336175	59.3
	"2017"	"2017"	"30-34 years"	"30-34"	21224	21938443	96.7
	"2017"	"2017"	"35-39 years"	"35-39"	31496	21190454	148.6
	"2017"	"2017"	"40-44 years"	"40-44"	47920	19590752	244.6
	"2017"	"2017"	"45-49 years"	"45-49"	79650	20916186	380.8
	"2017"	"2017"	"50-54 years"	"50-54"	126564	21347575	592.9
	"2017"	"2017"	"55-59 years"	"55-59"	190146	21959910	865.9
	"2017"	"2017"	"60-64 years"	"60-64"	240811	19942009	1207.6
	"2017"	"2017"	"65-69 years"	"65-69"	277607	16803000	1652.1
	"2017"	"2017"	"70-74 years"	"70-74"	251194	12829683	1957.9
	"2017"	"2017"	"75-79 years"	"75-79"	191124	8730528	2189.1
	"2017"	"2017"	"80-84 years"	"80-84"	134148	5960298	2250.7
	"2017"	"2017"	"85+ years"	"85+"	129027	6470414	1994.1
# "---"
# "Dataset: United States and Puerto Rico Cancer Statistics, 1999-2017 Incidence"
# "Query Parameters:"
# "Group By: Year; Age Groups"
# "Show Totals: False"
# "Show Zero Values: True"
# "Show Suppressed: True"
# "Calculate Rates Per: 100,000"
# "Standard Population: 2000 U.S. Std. Million"
# "---"
# "Help: See http://wonder.cdc.gov/wonder/help/cancer-v2017.html for more information."
# "---"
# "Query Date: Oct 6, 2021 12:38:09 PM"
# "---"
# "Suggested Citation: United States Cancer Statistics - Incidence: 1999 - 2017, WONDER Online Database. United States Department"
# "of Health and Human Services, Centers for Disease Control and Prevention and National Cancer Institute; 2020. Accessed at"
# "http://wonder.cdc.gov/cancer-v2017.html on Oct 6, 2021 12:38:09 PM"
# "---"
# Caveats:
# "1. Age-adjusted rates are not available when results are grouped by age."
# "2. Data are from selected statewide and metropolitan area cancer registries that meet data quality criteria. Incidence data"
# "shown for the United States are diagnoses and populations from included registries only."
# "3. Information on primary site, behavior, and histology was coded according to the International Classification of Diseases for"
# "Oncology, Third Edition (ICD-O-3) and categorized according to the revised SEER recodes dated January 27, 2003, which define"
# "standard groupings of primary cancer sites."
# "4. For the 2005 year, the Census Bureau estimates that 203,937 persons were displaced from Alabama, Louisiana, Mississippi and"
# "Texas due to Hurricanes Katrina and Rita. CDC WONDER does not include the displaced persons in the 2005 population counts for"
# "these states, nor are these counts included in the summary populations for the affected division, regions or national"
# "population. However, the USCS web site does include these displaced persons in the national population figures for 2005."
